param_name,车型10_14.98,车型11_14.18,车型12_15.18,车型13_14.98,车型14_15.98,车型15_15.18,车型16_16.18,车型17_14.78,车型18_16.78,车型19_14.98,车型1_12.98,车型20_16.98,车型21_15.78,车型22_17.78,车型23_15.98,车型24_17.98,车型25_15.98,车型26_17.98,车型27_20.78,车型28_16.18,车型29_20.98,车型2_13.98,车型30_18.18,车型31_16.98,车型32_18.98,车型33_21.78,车型34_17.18,车型35_19.18,车型36_21.98,车型37_14.38,车型38_14.58,车型39_14.58,车型3_13.18,车型40_14.78,车型41_15.58,车型42_15.78,车型43_16.98,车型44_17.18,车型45_25.98,车型4_14.18,车型5_13.98,车型6_14.98,车型7_14.18,车型8_15.18,车型9_13.98
NEDC(L/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.3,-,-,-,-,-,-
上市,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.04,2021.03,2021.04,2021.03,2021.03,2021.03,2021.03,2021.04,2021.03,2021.03,2021.04,2021.11,2021.11,2021.11,2021.03,2021.11,2021.11,2021.11,2021.11,2021.11,2022.03,2021.03,2021.03,2021.03,2021.03,2021.03,2021.03
制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
厂商指导价,14.98,14.18,15.18,14.98,15.98,15.18,16.18,14.78,16.78,14.98,12.98,16.98,15.78,17.78,15.98,17.98,15.98,17.98,20.78,16.18,20.98,13.98,18.18,16.98,18.98,21.78,17.18,19.18,21.98,14.38,14.58,14.58,13.18,14.78,15.58,15.78,16.98,17.18,25.98,14.18,13.98,14.98,14.18,15.18,13.98
发动机,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 163马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 163马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 218马力 L4,2.0T 214马力 L4,2.0T 214马力 L4,2.0T 214马力 L4,2.0T 163马力 L4,2.0T 214马力 L4,2.0T 214马力 L4,2.0T 214马力 L4,2.0T 214马力 L4,2.0T 214马力 L4,2.0T 218马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4,2.0T 163马力 L4
发动机型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,8挡自动,6挡手动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,8挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动
变速箱类型,自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT)
后备厢(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW),120,120,120,120,120,120,120,160,160,160,120,160,160,160,160,160,160,160,160,160,160,120,160,160,160,160,160,160,160,157,157,157,120,157,157,157,157,157,160,120,120,120,120,120,120
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),400,400,400,400,400,400,400,500,500,500,400,500,500,500,500,500,500,500,500,500,500,400,500,500,500,500,500,500,500,350,350,350,400,350,350,350,350,350,500,400,400,400,400,400,400
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),163,163,163,163,163,163,163,218,218,218,163,218,218,218,218,218,218,218,218,218,218,163,218,218,218,218,218,218,218,214,214,214,163,214,214,214,214,214,218,163,163,163,163,163,163
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185,-,-,-,-,-,-
每缸(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,柴油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
货箱尺寸(mm),1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,1485x1510x530,1800x1510x530,-,1800x1510x530,1485x1510x530,1485x1510x530,1800x1510x530,1800x1510x530,1485x1510x530
车体结构,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非
车身结构,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长*宽*高(mm),5365×1900×1845,5680×1900×1809,5680×1900×1845,5365×1900×1809,5365×1900×1845,5680×1900×1809,5680×1900×1845,5365×1960×1845,5365×1960×1845,5680×1960×1845,5365×1900×1809,5680×1960×1845,5365×1960×1845,5365×1960×1845,5680×1960×1845,5680×1960×1845,5365×1960×1845,5365×1960×1845,5365×1960×1845,5680×1960×1845,5680×1960×1845,5365×1900×1845,5680×1960×1845,5365×1960×1845,5365×1960×1845,5365×1960×1845,5680×1960×1845,5680×1960×1845,5680×1960×1845,5365×1960×1845,5680×1960×1845,5365×1960×1845,5680×1900×1809,5680×1960×1845,5365×1960×1845,5680×1960×1845,5365×1960×1845,5680×1960×1845,5480×2050×1980,5680×1900×1845,5365×1900×1809,5365×1900×1845,5680×1900×1809,5680×1900×1845,5365×1900×1809
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
