param_name,车型10_14.98,车型11_16.68,车型12_16.68,车型13_17.88,车型14_17.98,车型15_19.28,车型16_20.28,车型17_20.28,车型1_13.88,车型2_16.18,车型3_16.18,车型4_17.18,车型5_18.68,车型6_19.78,车型7_14.98,车型8_17.98,车型9_14.98
/头部(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OTA级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USB/Type-C数量,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个,排1个/1个
上市,2025.09,2025.09,2025.09,2025.09,2025.05,2025.09,2025.04,2023.04,2025.09,2023.02,2023.04,2023.02,2023.02,2023.02,2022.10,2022.10,2025.09
中控屏幕尺寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸,10英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目 流媒体,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动类型,电子,电子,手刹,手刹,电子,电子,电子,电子,手刹,手刹,电子,电子,手刹,电子,电子,电子,手刹
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,14.98,16.68,16.68,17.88,17.98,19.28,20.28,20.28,13.88,16.18,16.18,17.18,18.68,19.78,14.98,17.98,14.98
发动机,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4,2.0T 228马力 L4
发动机型,4K31,4K31,4K31,4K31,4K31TD,4K31,4K31,4K31TD,4K31,4K31TD,4K31TD,4K31TD,4K31TD,4K31TD,4K31TD,4K31TD,4K31
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
变速箱,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手动变速箱(MT)
后备厢(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜,电动 电动折叠 后视镜
多媒体/充电,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
官方0-100km/h加速(s),13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
巡航系统,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航
座位数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,挡把换挡,电子挡把换挡,电子挡把换挡,挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
排座椅功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
接近角(°),33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
放置方式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式,底挂式
方向盘位置,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动,手动
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
最大功率(kW),168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
最大功率转速(rpm),5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
最大扭矩(N·m),360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360
最大扭矩转速(rpm),1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000,1400-4000
最大满载(kg),2501,2501,2562,2562,2571,2571,2571,2571,2501,2501,2501,2501,2562,2571,2501,2571,2501
最大爬坡度(%),40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
最大马力(Ps),228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228
最小转弯半径(m),6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
最高车速(km/h),170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
每缸(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
液晶仪表尺寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸,3.5英寸
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
满载最小(mm),209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
离去角(°),21,21,21,21,24,21,24,24,21,24,24,24,24,24,24,24,21
空调温度控制方式,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调
第二排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
经销商参考价,14.48万起,16.18万起,16.18万起,17.38万起,17.48万起,18.78万起,19.78万起,19.78万起,13.38万起,15.68万起,15.68万起,16.68万起,18.18万起,19.28万起,暂无报价,暂无报价,14.48万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
语音识别控制系统,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调,多媒体系统 空调
超声波雷达数量,2个,2个,2个,2个,2个,2个,2个,2个,2个,2个,2个,2个,2个,2个,-,-,2个
车体结构,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非,非
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键降功能,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进入功能,排,排,排,排,排,排,排,排,排,排,排,排,排,排,排,排,排
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989,5252*1864*1989
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶辅助,倒车 360度全景,360度全景,倒车 360度全景,360度全景,倒车 360度全景,360度全景,360度全景,倒车 360度全景,倒车 360度全景,倒车 360度全景,倒车 360度全景,倒车 360度全景,倒车 360度全景,倒车 360度全景,倒车 360度全景,倒车 360度全景,360度全景
