param_name,车型10_17.49,车型1_15.49,车型2_15.99,车型3_16.19,车型4_16.49,车型5_18.49,车型6_17.49,车型7_15.49,车型8_16.49,车型9_18.49
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
WLTC(L/100km),8.95,8.3,8.3,8.3,8.3,8.3,8.95,8.30,8.30,8.30
上市,2023.03,2023.11,2024.05,2023.11,2023.11,2023.11,2023.11,2023.03,2023.03,2023.03
中控屏幕尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腰部(4向),后 靠背 高低(2向) 腰部(4向),后 靠背 高低(2向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向),后 靠背 高低(4向) 腰部(4向)
内后视镜功能,手动防眩目 流媒体,手动防眩目,手动防眩目,手动防眩目,手动防眩目 流媒体,手动防眩目 流媒体,手动防眩目 流媒体,手动防眩目,手动防眩目 流媒体,手动防眩目 流媒体
制动类型,电子,电子,电子,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背 腰部(4向),后 靠背,后 靠背,后 靠背 腰部(4向),后 靠背 腰部(4向),后 靠背 腰部(4向),后 靠背 腰部(4向),后 靠背 腰部(4向),后 靠背 腰部(4向),后 靠背 腰部(4向)
厂商指导价,17.49,15.49,15.99,16.19,16.49,18.49,17.49,15.49,16.49,18.49
发动机,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4,2.0T 233马力 L4
发动机型,JL486ZQ5,JL486ZQ5,JL486ZQ5,JL486ZQ5,JL486ZQ5,JL486ZQ5,JL486ZQ5,JL486ZQ5,JL486ZQ5,JL486ZQ5
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
变速箱,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
后备厢(L),-,-,-,-,-,-,-,-,-,-
地图品牌,高德,高德,高德,高德,高德,高德,高德,高德,高德,高德
外后视镜功能,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠
多媒体/充电,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
天窗类型,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗,可开启全景天窗
安全带未系提醒,排,排,排,排,排,排,排,排,排,排
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5,5,5,5,5
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机APP远程功能,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车,车门控制 车窗控制 车辆启动 空调控制 座椅 车况查询/诊断 车辆定位/寻车
手机互联/映射,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar,支持HUAWEI HiCar
手机无线充电功能,排,排,排,排,排,排,排,排,排,排
换挡形式,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡,电子挡把换挡
排座椅功能,通 按摩(仅驾驶位),通,通,通 按摩(仅驾驶位),通,通 按摩(仅驾驶位),通,通,通 按摩(仅驾驶位),通 按摩(仅驾驶位)
接近角(°),19,19,19,19,19,19,19,19,19,19
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),166,166,166,166,166,166,166,166,166,166
最大功率(kW),171,171,171,171,171,171,171,171,171,171
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
最大扭矩(N·m),390,390,390,390,390,390,390,390,390,390
最大扭矩转速(rpm),1900-3300,1900-3300,1900-3300,1900-3300,1900-3300,1900-3300,1900-3300,1900-3300,1900-3300,1900-3300
最大满载(kg),2305,2220,2220,2220,2220,2220,2305,2220,2220,2220
最大马力(Ps),233,233,233,233,233,233,233,233,233,233
最高车速(km/h),200,200,200,200,200,200,200,200,200,200
每缸(个),4,4,4,4,4,4,4,4,4,4
液晶仪表尺寸,3.5英寸 9.2英寸 10.25英寸,3.5英寸 9.2英寸 10.25英寸,3.5英寸 9.2英寸 10.25英寸,3.5英寸 9.2英寸 10.25英寸,3.5英寸 9.2英寸 10.25英寸,3.5英寸 9.2英寸 10.25英寸,3.5英寸 9.2英寸 10.25英寸,-,3.5英寸 9.2英寸 10.25英寸,3.5英寸 9.2英寸 10.25英寸
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,驾驶位,-,-,驾驶位,驾驶位,驾驶位,驾驶位,-,驾驶位,驾驶位
离去角(°),27,27,27,27,27,27,27,27,27,27
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
语音识别控制系统,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗,多媒体系统 航 空调 天窗
超声波雷达数量,6个,6个,6个,6个,6个,12个,6个,6个,6个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾位 副驾驶,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,64色,-,-,-,64色,64色,64色,-,64色,64色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车,全车,全车,全车
车身结构,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
辅助驾驶等级,L2,L2,L2,L2,L2,L2,L2,-,L2,L2
进入功能,排,排,排,排,排,排,排,排,排,排
钥匙类型,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙,遥控钥匙 钥匙
长*宽*高(mm),4865*1948*1690,4865*1948*1690,4865*1948*1690,4865*1948*1700,4865*1948*1690,4865*1948*1700,4865*1948*1690,4865*1948*1690,4865*1948*1690,4865*1948*1700
阻系数(Cd),-,-,-,-,-,-,-,-,-,-
驾驶辅助,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景,360度全景
