param_name,车型1_26.38,车型2_27.98,车型3_30.18,车型4_26.38,车型5_27.98,车型6_28.48,车型7_30.18
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G,4G,4G,4G,4G
OTA级,-,-,-,-,-,-,-
USB/Type-C数量,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个,排2个/2个
WLTC(L/100km),6.78,7.12,8,6.78,7.12,7.12,8
上市,-,-,-,2025.04,2025.04,2025.04,2025.04
中控屏幕尺寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸,10.1英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向)
内后视镜功能,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目,自动防眩目
制动类型,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向),后 靠背 高低(4向) 腿托 腰部(4向)
厂商指导价,26.38,27.98,30.18,26.38,27.98,28.48,30.18
发动机,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 220马力 L4,1.5T 160马力 L4,2.0T 186马力 L4,2.0T 186马力 L4,2.0T 220马力 L4
发动机型,EA211-DSV,EA888-DTH,EA888-DTJ,EA211-DSV,EA888-DTH,EA888-DTH,EA888-DTJ
发动机布局,横置,横置,横置,横置,横置,横置,横置
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
后备厢(L),450,450,450,450,450,450,450
地图品牌,高德 百度,高德 百度,高德 百度,高德 百度,高德 百度,高德 百度,高德 百度
外后视镜功能,电动 电动折叠 (￥1000) 后视镜 锁车自动折叠 自动防眩目 (￥1000),电动 电动折叠 后视镜 锁车自动折叠 自动防眩目 (￥1000),电动 电动折叠 后视镜 锁车自动折叠 自动防眩目 (￥1000),电动 电动折叠 (￥1000) 后视镜 锁车自动折叠 自动防眩目 (￥1000),电动 电动折叠 后视镜 锁车自动折叠 自动防眩目 (￥1000),电动 电动折叠 后视镜 锁车自动折叠 自动防眩目 (￥1000),电动 电动折叠 后视镜 锁车自动折叠 自动防眩目 (￥1000)
多媒体/充电,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C
天窗类型,电动天窗,电动天窗,电动天窗,电动天窗,电动天窗,电动天窗,电动天窗
安全带未系提醒,排,排,排,排,排,排,排
官方0-100km/h加速(s),9.6,8.8,7.3,9.6,8.8,8.8,7.3
巡航系统,定速巡航 (￥1000),全速自应巡航,全速自应巡航,定速巡航 (￥1000),全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5,5
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机互联/映射,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay,支持CarPlay
手机无线充电功能,排 (￥2000),排 (￥2000),排 (￥2000),排 (￥2000),排 (￥2000),排 (￥2000),排 (￥2000)
换挡形式,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡
接近角(°),18,18,18,18,18,18,18
放置方式,后备厢内,后备厢内,后备厢内,后备厢内,后备厢内,后备厢内,后备厢内
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),118,137,162,118,137,137,162
最大功率(kW),118,137,162,118,137,137,162
最大功率转速(rpm),5500,4150-6000,4900-6700,5500,4150-6000,4150-6000,4900-6700
最大扭矩(N·m),250,320,350,250,320,320,350
最大扭矩转速(rpm),1750-4000,1600-4050,1600-4300,1750-4000,1600-4050,1600-4050,1600-4300
最大满载(kg),2080,2135,2230,2080,2135,2135,2230
最大马力(Ps),160,186,220,160,186,186,220
最小转弯半径(m),6,6,6,6,6,6,6
最高车速(km/h),200,200,200,200,200,200,200
每缸(个),4,4,4,4,4,4,4
液晶仪表尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
满载最小(mm),150,150,150,150,150,150,150
灯光特色功能,-,矩阵式 (￥6000),矩阵式,-,矩阵式 (￥6000),矩阵式 (￥6000),矩阵式
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,-,-,-,-,-
离去角(°),22,22,22,22,22,23,22
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
经销商参考价,26.38万起,27.98万起,30.18万起,20.84万起,22.66万起,23.07万起,24.45万起
胎压监测功能,胎压报警,胎压报警,胎压报警,胎压报警,胎压报警,胎压报警,胎压报警
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
语音识别控制系统,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航,多媒体系统 航
超声波雷达数量,8个,8个,8个,8个,8个,8个,8个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内环境氛围灯,30色,30色,30色,30色,30色,30色,30色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车
车身结构,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车
车道保持辅助系统,-,(￥5500),(￥5500),-,(￥5500),(￥5500),(￥5500)
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
辅助驾驶等级,-,L2,L2,-,L2,L2,L2
进入功能,排,排,排,排,排,排,排
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),4516*1843*1569,4516*1843*1569,4516*1843*1569,4516*1843*1569,4516*1843*1569,4516*1843*1569,4516*1843*1569
阻系数(Cd),-,-,-,-,-,-,-
驾驶辅助,倒车,倒车 360度全景 (￥5000),倒车 360度全景 (￥5000),倒车,倒车 360度全景 (￥5000),倒车 360度全景 (￥5000),倒车 360度全景 (￥5000)
