param_name,车型1_15.98,车型2_16.98,车型3_17.98,车型4_14.18,车型5_14.98,车型6_15.68,车型7_15.88,车型8_16.88
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,4G,4G,4G,-,4G,4G,4G,4G
USB/Type-C数量,排1个/2个,排1个/2个,排1个/2个,排1个,排1个,排1个/2个,排1个/2个,排1个/2个
WLTC(L/100km),4.08,4.3,4.41,5.59,5.59,6.15,6.15,6.15
三电系统,八20公里,八20公里,八20公里,-,-,-,-,-
上市,2023.09,2023.09,2023.09,2023.05,2023.05,2023.05,2023.05,2023.05
中控屏幕尺寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,主 / 副-,主 / 副,-,-,主 / 副-,主 / 副-,主 / 副
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向) 腰部(2向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,15.98,16.98,17.98,14.18,14.98,15.68,15.88,16.88
发动机,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4
发动机型,-,-,-,M20E,M20E,M20E,M20E,M20E
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机特有技术,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE
变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡)
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
后备厢(L),-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-
外后视镜功能,电动 后视镜,电动 后视镜,电动 电动折叠 后视镜 锁车自动折叠,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜
多媒体/充电,USB,USB,USB,USB,USB,USB,USB,USB
天窗类型,电动天窗,电动天窗,电动天窗,-,电动天窗,电动天窗,电动天窗,电动天窗
安全带未系提醒,全车,全车,全车,全车,全车,全车,全车,全车
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5,5,5
感应雨刷功能,-,-,雨量感应式,-,-,-,-,雨量感应式
手机APP远程功能,车门控制 车灯控制 车况查询/诊断 车辆定位/寻车,车门控制 车灯控制 车况查询/诊断 车辆定位/寻车,车门控制 车灯控制 车况查询/诊断 车辆定位/寻车,车门控制 车灯控制 车况查询/诊断 车辆定位/寻车,车门控制 车灯控制 车况查询/诊断 车辆定位/寻车,车门控制 车灯控制 车况查询/诊断 车辆定位/寻车,车门控制 车灯控制 车况查询/诊断 车辆定位/寻车,车门控制 车灯控制 车况查询/诊断 车辆定位/寻车
手机互联/映射,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar
手机无线充电功能,排,排,排,-,-,-,-,-
换挡形式,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡
接近角(°),12,12,12,12,12,12,12,12
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),112,112,112,126,126,126,126,126
最大功率(kW),144,144,144,126,126,126,126,126
最大功率转速(rpm),6000,6000,6000,6600,6600,6600,6600,6600
最大扭矩(N·m),-,-,-,205,205,205,205,205
最大扭矩转速(rpm),4400-5200,4400-5200,4400-5200,4600-5000,4600-5000,4600-5000,4600-5000,4600-5000
最大满载(kg),1860,1860,1860,1820,1820,1820,1820,1820
最大马力(Ps),152,152,152,171,171,171,171,171
最小转弯半径(m),5.4,5.6,5.6,5.4,5.4,5.6,5.6,5.6
最高车速(km/h),180,180,180,180,180,180,180,180
每缸(个),4,4,4,4,4,4,4,4
液晶仪表尺寸,7英寸,7英寸,12.3英寸,7英寸,7英寸,7英寸,7英寸,12.3英寸
温度分区控制,-,-,-,-,-,-,-,-
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动机(Ps),113,113,113,-,-,-,-,-
电动机总功率(kW),83,83,83,-,-,-,-,-
电动机总扭矩(N·m),206,206,206,-,-,-,-,-
电动机总马力(Ps),113,113,113,-,-,-,-,-
电动机最大功率(kW),83,83,83,-,-,-,-,-
电动机最大扭矩(N·m),206,206,206,-,-,-,-,-
电机类型,/,/,/,-,-,-,-,-
电池类型,电池,电池,电池,-,-,-,-,-
离去角(°),16,16,16,16,16,16,16,16
空调温度控制方式,自动空调,自动空调,自动空调,手动空调,手动空调,手动空调,手动空调,自动空调
空载最小(mm),132,132,132,132,132,132,132,132
第二排座椅,-,-,-,-,-,-,-,-
系统功率(Ps),196,196,196,-,-,-,-,-
系统功率(kW),144,144,144,-,-,-,-,-
经销商参考价,13.48万起,14.48万起,15.48万起,11.68万起,12.48万起,13.18万起,13.38万起,14.38万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,油电混合,油电混合,油电混合,汽油,汽油,汽油,汽油,汽油
语音识别控制系统,多媒体系统 航 天窗,多媒体系统 航 天窗,多媒体系统 航 空调 天窗,-,多媒体系统 航 天窗,多媒体系统 航 天窗,多媒体系统 航 天窗,多媒体系统 航 空调 天窗
超声波雷达数量,8个,8个,8个,8个,8个,8个,8个,8个
车内化妆镜,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶
车内环境氛围灯,-,单色,单色,-,-,单色,单色,单色
车窗一键降功能,全车,全车,全车,全车,全车,全车,全车,全车
车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
轮距(mm),1531,1531,1531,1531,1531,1531,1531,1531
辅助泊车入位,-,-,-,-,-,-,-,-
辅助驾驶等级,L2,L2,L2,L2,L2,L2,L2,L2
辅助驾驶系统,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense
进入功能,-,排,排,-,-,排,排,排
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙 UWB数字钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435,4720*1780*1435
阻系数(Cd),-,-,-,-,-,-,-,-
驱动方式,置驱,置驱,置驱,置驱,置驱,置驱,置驱,置驱
驾驶辅助,倒车,倒车,360度全景,-,倒车,倒车,倒车,倒车
