param_name,车型1_13.98,车型2_15.18,车型3_15.88,车型4_14.98,车型5_16.18,车型6_16.98
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,-,-,4G,-,-,4G
USB/Type-C数量,排1个/2个,排1个/2个,排1个/2个,排1个/2个,排1个/2个,排1个/2个
WLTC(L/100km),5.58,6.22,6.22,4.08,4.33,4.33
上市,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07
中控屏幕尺寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,-,主 / 副-,-,-,主 / 副-
主座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(4向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(4向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子,电子
副座椅方式,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背
厂商指导价,13.98,15.18,15.88,14.98,16.18,16.98
发动机,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 171马力 L4,2.0L 152马力 L4,2.0L 152马力 L4,2.0L 152马力 L4
发动机型,M20C,M20C,M20C,M20F,M20F,M20F
发动机布局,横置,横置,横置,横置,横置,横置
发动机特有技术,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE,VVT-iE
变速箱,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
后备厢(L),-,-,-,-,-,-
后雨刷,-,-,-,-,-,-
外后视镜功能,电动,电动,电动 电动折叠 后视镜,电动,电动,电动 电动折叠 后视镜
多媒体/充电,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C
天窗类型,-,电动天窗,电动天窗,-,电动天窗,电动天窗
安全带未系提醒,全车,全车,全车,全车,全车,全车
官方0-100km/h加速(s),-,-,-,-,-,-
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),5,5,5,5,5,5
感应雨刷功能,-,-,-,-,-,-
手机APP远程功能,车门控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修,车门控制 空调控制 车况查询/诊断 车辆定位/寻车 车主服务（查找、加油站、停车场等） 预约保养/维修
手机互联/映射,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar,支持CarPlay 支持CarLife 支持HUAWEI HiCar
手机无线充电功能,-,-,-,-,-,-
换挡形式,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡
排座椅功能,-,-,-,-,-,-
接近角(°),13,13,13,12,12,12
放置方式,后备厢内,后备厢内,后备厢内,后备厢内,后备厢内,后备厢内
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),126,126,126,112,112,112
最大功率(kW),126,126,126,144,144,144
最大功率转速(rpm),6600,6600,6600,6000,6000,6000
最大扭矩(N·m),205,205,205,-,-,-
最大扭矩转速(rpm),4600-5000,4600-5000,4600-5000,4400-5200,4400-5200,4400-5200
最大满载(kg),1820,1820,1820,1860,1860,1860
最大马力(Ps),171,171,171,152,152,152
最高车速(km/h),180,180,180,180,180,180
每缸(个),4,4,4,4,4,4
毫米波雷达数量,1个,1个,1个,1个,1个,1个
液晶仪表尺寸,7英寸,12.3英寸,12.3英寸,7英寸,12.3英寸,12.3英寸
温度分区控制,-,-,-,-,-,-
环保标准,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,-,-,-,-
电动机(Ps),-,-,-,113,113,113
电动机总功率(kW),-,-,-,83,83,83
电动机总扭矩(N·m),-,-,-,206,206,206
电动机总马力(Ps),-,-,-,113,113,113
电动机最大功率(kW),-,-,-,83,83,83
电动机最大扭矩(N·m),-,-,-,206,206,206
电池类型,-,-,-,三,三,三
电芯品牌,-,-,-,宁德时代(江苏时代),宁德时代(江苏时代),宁德时代(江苏时代)
离去角(°),17,17,17,16,16,16
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调,自动空调
第二排座椅,-,-,-,-,-,-
系统功率(Ps),-,-,-,196,196,196
系统功率(kW),-,-,-,144,144,144
经销商参考价,9.58万起,10.78万起,11.48万起,10.58万起,11.78万起,12.58万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,汽油,汽油,汽油,油电混合,油电混合,油电混合
语音分区域唤醒识别,-,-,单区域,-,-,单区域
语音助手唤醒词,-,-,你好，,-,-,你好，
语音识别控制系统,-,-,多媒体系统 航 空调 天窗 车窗,-,-,多媒体系统 航 空调 天窗 车窗
车内化妆镜,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶,主驾位 副驾驶
车内环境氛围灯,-,-,-,-,-,-
车窗一键降功能,全车,全车,全车,全车,全车,全车
车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
轮距(mm),1531,1531,1531,1531,1531,1531
辅助泊车入位,-,-,-,-,-,-
辅助驾驶等级,L2,L2,L2,L2,L2,L2
辅助驾驶系统,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense,Toyota Safety Sense
进入功能,排,排,排,排,排,排
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙 钥匙
长*宽*高(mm),4695*1780*1435,4695*1780*1435,4695*1780*1435,4695*1780*1435,4695*1780*1435,4695*1780*1435
阻系数(Cd),-,-,-,-,-,-
驱动方式,置驱,置驱,置驱,置驱,置驱,置驱
驾驶辅助,倒车,倒车,倒车,倒车,倒车,倒车
