param_name,车型10_17.15,车型11_16.20,车型12_18.00,车型13_19.85,车型14_20.45,车型15_20.15,车型16_20.65,车型17_14.77,车型18_14.97,车型19_16.47,车型1_15.87,车型20_17.07,车型21_18.57,车型22_20.77,车型23_16.37,车型24_15.97,车型25_19.20,车型26_20.95,车型27_21.55,车型28_21.25,车型29_21.85,车型2_13.07,车型30_15.27,车型31_13.77,车型32_13.57,车型33_14.57,车型34_15.27,车型35_13.77,车型36_13.57,车型37_13.57,车型38_13.77,车型39_15.27,车型3_13.27,车型4_14.77,车型5_15.37,车型6_15.77,车型7_16.37,车型8_14.87,车型9_15.07
(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
/头部(气帘),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4G/5G网络,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,-,-,-,4G,4G,4G,4G,4G,4G,4G
USB/Type-C数量,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上市,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2023.08,2023.08,2023.08,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01,2024.01
中控屏幕尺寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,-,-,-,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸,12.3英寸
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主座椅方式,后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向),后 靠背 高低(2向) 腰部(2向)
内后视镜功能,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目,手动防眩目
制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅方式,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,靠背,后 靠背,靠背,靠背,靠背,靠背,-,-,-,-,-,-,后 靠背,后 靠背,后 靠背,后 靠背,后 靠背,靠背,靠背
厂商指导价,17.15,16.20,18.00,19.85,20.45,20.15,20.65,14.77,14.97,16.47,15.87,17.07,18.57,20.77,16.37,15.97,19.20,20.95,21.55,21.25,21.85,13.07,15.27,13.77,13.57,14.57,15.27,13.77,13.57,13.57,13.77,15.27,13.27,14.77,15.37,15.77,16.37,14.87,15.07
发动机,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.8T 177马力 L4,2.8T 177马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 150马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4,2.0T 152马力 L4
发动机型,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,F2.8NS6B177L,F2.8NS6B177L,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC3,4F20TC3,4F20TC3,4F20TC3,4F20TC3,4F20TC3,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18,4F20TC18
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置
变速箱,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡自动,6挡自动,6挡自动,6挡手动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡自动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动,6挡手动
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
后备厢(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜功能,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜
多媒体/充电,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位,主驾驶位
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巡航系统,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航,定速巡航
座位数(个),9,9,7/9,14/15/17,14/15/17,14/15/17,14/15/17,5/6/9,5/6/9,6/7/9,5/6/7/9,6/7/9,7,9,9,9,7/9,14/15/17,14/15/17,14/15/17,14/15/17,3,5/6/7/9,5/6,5/6,9,7,5/6,5/6,5/6,5/6,7,3,3,3,3,3,7,7
座椅形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
换挡形式,-,-,-,-,-,-,-,-,-,-,挡把换挡,-,-,-,-,-,-,-,-,-,-,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,-,-,-,-,-,-,挡把换挡,挡把换挡,挡把换挡,挡把换挡,挡把换挡,-,-
排座椅功能,(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位),(仅驾驶位) 通(仅驾驶位)
方向盘位置,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后,手动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色,彩色
最大净功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大功率(kW),112,112,112,112,112,112,112,112,112,112,112,112,130,130,112,112,112,112,112,112,112,112,112,112,112,112,110,110,110,110,110,110,112,112,112,112,112,112,112
最大功率转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),380,380,380,380,380,380,380,380,380,380,380,380,360,360,380,380,380,380,380,380,380,380,380,380,380,380,330,330,330,330,330,330,380,380,380,380,380,380,380
最大扭矩转速(rpm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大满载(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大马力(Ps),152,152,152,152,152,152,152,152,152,152,152,152,177,177,152,152,152,152,152,152,152,152,152,152,152,152,149,149,149,149,149,149,152,152,152,152,152,152,152
最高车速(km/h),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
每缸(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
液晶仪表尺寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,-,-,-,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸,12英寸
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调 自动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调 自动空调,手动空调 自动空调
第二排座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
胎压监测功能,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示,胎压报警 胎压显示
能源类型,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油,柴油
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键降功能,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位 排,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位,驾驶位 排,驾驶位 排,驾驶位 排,驾驶位 排,驾驶位 排,-,-,驾驶位,-,-,-,驾驶位 排,驾驶位 排,驾驶位 排,驾驶位 排,驾驶位 排,驾驶位,驾驶位
车身结构,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车,客车
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
辅助泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙,遥控钥匙
长*宽*高(mm),4923*2000*2218,4923*2000*2445,5495*2000*2445,5990*2000*2445,5990*2000*2720,5990*2000*2445,5990*2000*2720,4923*2000*2218,4923*2000*2445,5495*2000*2445,5495*2000*2720,5495*2000*2720,4923*2000*2218,5495*2000*2445,4923*2000*2218,4923*2000*2445,5495*2000*2445,5990*2000*2445,5990*2000*2720,5990*2000*2445,5990*2000*2720,4923*2000*2218,5495*2000*2445,4923*2000*2445,4923*2000*2218,4923*2000*2218,5495*2000*2445,4923*2000*2445,4923*2000*2189,4923*2000*2189,4923*2000*2445,5495*2000*2445,4923*2000*2445,5495*2000*2445,5495*2000*2720,5990*2000*2445,5990*2000*2720,4923*2000*2218,4923*2000*2445
阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶辅助,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车
