param_name,车型1_19.80,车型2_20.10,车型3_20.60,车型4_15.38,车型5_16.38,车型6_16.08,车型7_17.78,车型8_18.78,车型9_18.28
(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-
/头部(气帘),-,-,-,-,-,-,-,-,-
CLTC纯电续航里程(km),320,320,320,-,-,-,-,-,-
OTA级,-,-,-,-,-,-,-,-,-
USB/Type-C数量,-,-,-,-,-,-,-,-,-
上市,2024.07,2024.07,2024.07,2023.08,2023.08,2023.08,2023.08,2023.08,2023.08
中控屏幕尺寸,7英寸,7英寸,7英寸,-,-,-,-,-,-
中控彩色屏幕,普通液晶屏,普通液晶屏,普通液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,-,-,-,-,-,-,-,-,-
主/副驾驶座电动,-,-,-,-,-,-,-,-,-
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-
主座椅方式,-,-,-,-,-,-,-,-,-
内后视镜功能,-,-,-,-,-,-,-,-,-
制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-,-
副座椅方式,-,-,-,-,-,-,-,-,-
卫星航系统,-,-,-,-,-,-,-,-,-
厂商指导价,19.80,20.10,20.60,15.38,16.38,16.08,17.78,18.78,18.28
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱,变速箱
后备厢(L),-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),100,100,100,-,-,-,-,-,-
后电动机最大扭矩(N·m),270,270,270,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-
启动系统,-,-,-,-,-,-,-,-,-
外后视镜功能,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜,电动 后视镜
多媒体/充电,-,-,-,-,-,-,-,-,-
天窗类型,-,-,-,-,-,-,-,-,-
安全带未系提醒,主驾驶位,主驾驶位,主驾驶位,-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-,-
座位数(个),2,2,2,2,2,2,2,2,2
座椅形式,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-,-
排座椅功能,-,-,-,-,-,-,-,-,-
接近角(°),20,20,20,20,20,20,20,20,20
方向盘位置,手动+后,手动+后,手动+后,-,-,-,-,-,-
显示屏幕,彩色,彩色,彩色,-,-,-,-,-,-
最大功率(kW),100,100,100,77,77,77,92,92,92
最大扭矩(N·m),270,270,270,230,230,230,270,270,270
最大涉水深度(mm),300,300,300,-,-,-,-,-,-
最大满载(kg),3495,3495,3495,3150,3150,3150,-,-,-
最大爬坡度(%),20,20,20,20,20,20,20,20,20
最大载重(kg),1465,1265,1215,1370,1230,1180,1810,1620,1685
最小转弯半径(m),7,7,7,-,-,-,-,-,-
最高车速(km/h),85,85,85,85,85,85,85,85,85
液晶仪表尺寸,8英寸,8英寸,8英寸,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-
电动机(Ps),136,136,136,105,105,105,125,125,125
电动机总功率(kW),100,100,100,77,77,77,92,92,92
电动机总扭矩(N·m),270,270,270,230,230,230,270,270,270
电动机总马力(Ps),136,136,136,105,105,105,125,125,125
电机类型,/,/,/,-,-,-,-,-,-
电池(小时),1,1,1,-,-,-,-,-,-
电池冷却方式,-,-,-,液冷,液冷,液冷,液冷,液冷,液冷
电池能量(kWh),63.75,63.75,63.75,41.86,41.86,41.86,55.7,64.64,55.7
电池范围(%),20-100,20-100,20-100,-,-,-,-,-,-
电芯品牌,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,力神动力,宁德时代
百公里耗(kWh/100km),19.5,19.5,19.5,-,-,-,-,-,-
离去角(°),17,17,17,16,16,16,16,16,16
空调温度控制方式,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调,手动空调
第二排座椅,-,-,-,-,-,-,-,-,-
纵向通过角(°),15.7,15.7,15.7,-,-,-,-,-,-
经销商参考价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价,暂无报价
胎压监测功能,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
语音识别控制系统,-,-,-,-,-,-,-,-,-
货箱尺寸(mm),4010x1850x355,4010x1850x1850,4010x1850x1850,3500x1750x355,3500x1750x355,3500x1750x355,3900x1850x355,3900x1850x1850,3900x1850x355
车体结构,非,非,非,非,非,非,非,非,非
车内化妆镜,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-
车窗一键降功能,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-
车身控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-
车身结构,货车,货车,货车,货车,货车,货车,货车,货车,货车
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车道偏离系统,-,-,-,-,-,-,-,-,-
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
辅助泊车入位,-,-,-,-,-,-,-,-,-
进入功能,-,-,-,-,-,-,-,-,-
钥匙类型,遥控钥匙,遥控钥匙,遥控钥匙,钥匙,钥匙,钥匙,钥匙,钥匙,钥匙
长*宽*高(mm),5990*1950*2070,5990*1950*2070,5990*1950*2070,5570*1850*2070,5570*1865*2070,5570*1850*2070,5995*1950*2090,5995*1960*2720,5995*2000*2000
阻系数(Cd),-,-,-,-,-,-,-,-,-
驾驶辅助,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车,倒车
