param_name,车型1_29.99,车型2_36.99,车型3_39.99,车型4_44.99,车型5_59.99
/头部(气帘),/ 后,/ 后,/ 后,/ 后,/ 后
4G/5G网络,5G,5G,5G,5G,5G
CLTC纯电续航里程(km),570,650,825,805,805
HUD抬头尺寸,-,19.8英寸,-,19.8英寸,19.8英寸
USB/Type-C数量,排2个/4个,排2个/4个,排2个/4个,排2个/4个,排2个/4个
USB/Type-C最大充电功率,60W,60W,60W,60W,60W
上市,2025.03,2025.03,2025.03,2025.03,2025.03
中控屏幕尺寸,15.4英寸,15.4英寸,15.4英寸,15.4英寸,15.4英寸
中控屏幕类型,LCD,LCD,LCD,LCD,LCD
中控彩色屏幕,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏,触控液晶屏
主/副驾驶座安全,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主/副驾驶座电动,主 / 副,主 / 副,主 / 副,主 / 副,主 / 副
主座椅方式,后 靠背 高低(2向) 腰部(4向),后 靠背 高低(2向) 腰部(4向),后 靠背 高低(2向) 腰部(4向),后 靠背 高低(2向) 腰部(4向),后 靠背 高低(2向) 腰部(4向)
内后视镜功能,自动防眩目 流媒体,自动防眩目 流媒体,自动防眩目 流媒体,自动防眩目 流媒体,自动防眩目 流媒体
制动器类型,通盘式,通盘式,通盘式,通盘式,通盘式
制动类型,电子,电子,电子,电子,电子
副座椅方式,后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向),后 靠背 高低(2向)
厂商指导价,29.99,36.99,39.99,44.99,59.99
变速箱类型,变速箱,变速箱,变速箱,变速箱,变速箱
可变功能,-,软硬 高低,软硬 高低,软硬 高低,软硬 高低
后备厢(L),1100-2124,1100-2124,1100-2124,1100-2124,1100-2124
后电动机品牌,-,威睿电动,-,威睿电动,威睿电动
后电动机最大功率(kW),-,200,-,200,200
后电动机最大扭矩(N·m),-,343,-,343,343
地图品牌,高德,高德,高德,高德,高德
外后视镜功能,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠,电动 电动折叠 后视镜记忆 后视镜 倒车自动下翻 锁车自动折叠
多媒体/充电,Type-C,Type-C,Type-C,Type-C,Type-C
多媒体屏幕数量,-,4个,4个,4个,4个
天窗类型,-,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗,不可开启全景天窗
安全带未系提醒,全车,全车,全车,全车,全车
官方0-100km/h加速(s),8.9,5.5,8.9,5.5,5.5
对外放电功率(kW),3.3,3.3,3.3,3.3,3.3
巡航系统,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航,全速自应巡航
座位数(个),6,6 8 (￥10000),6,6,6
座椅布局,2-2-2,2-2-2 2-2-2-2 (￥10000),2-2-2,2-2-2,2-2-2
座椅形式,-,-,-,-,-
感应雨刷功能,雨量感应式,雨量感应式,雨量感应式,雨量感应式,雨量感应式
手机互联/映射,支持Flyme link,支持Flyme link,支持Flyme link,支持Flyme link,支持Flyme link
手机无线充电功率,50W,50W,50W,50W,50W
手机无线充电功能,排,排,排,排,排
换挡形式,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡,电子式怀挡换挡
排座椅功能,通 按摩(仅驾驶位),通 按摩(仅驾驶位),通 按摩(仅驾驶位),通 按摩(仅驾驶位),通 按摩(仅驾驶位)
接近角(°),16,16,16,16,16
方向盘位置,手动+后,电动+后,手动+后,电动+后,电动+后
显示屏幕,彩色,彩色,彩色,彩色,彩色
最大功率(kW),200,400,200,400,400
最大扭矩(N·m),343,686,343,686,686
最大满载(kg),3425,3580,3630,3620,3620
最高车速(km/h),170,180,170,180,180
毫米波雷达数量,5个,5个,5个,5个,5个
液晶仪表尺寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸,10.25英寸
液晶屏幕尺寸,-,双5.98英寸 双12.8英寸,双5.98英寸 双12.8英寸,双5.98英寸 双12.8英寸,双5.98英寸 双12.8英寸
电动座椅记忆功能,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位,驾驶位 副驾驶位
电动机(Ps),272,544,272,544,544
电动机品牌,威睿电动,威睿电动,威睿电动,威睿电动,威睿电动
电动机总功率(kW),200,400,200,400,400
电动机总扭矩(N·m),343,686,343,686,686
电动机总马力(Ps),272,544,272,544,544
电动机最大功率(kW),200,200,200,200,200
电动机最大扭矩(N·m),343,343,343,343,343
电机类型,/,/,/,/,/
电池(小时),0.5,0.5,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷,液冷,液冷
电池类型,三,三,三,三,三
电池能量(kWh),100,116,140,140,140
电池范围(%),30-80,30-80,30-80,30-80,30-80
电能当量燃料消耗量(L/100km),2.15,-,-,-,-
电芯品牌,时代,时代,宁德时代,宁德时代,宁德时代
百公里耗(kWh/100km),18.5,-,-,-,-
离去角(°),15,17,17,17,17
空调温度控制方式,自动空调,自动空调,自动空调,自动空调,自动空调
第三排座椅,后 靠背,后 靠背 腿托,后 靠背 腿托,后 靠背 腿托,后 靠背 腿托
第三排座椅功能,通,通,通,通,通
第二排座椅,后 靠背,后 靠背 腰部 腿托,后 靠背 腰部 腿托,后 靠背 腰部 腿托,后 靠背 腰部 腿托
第二排座椅功能,通,通 按摩,通 按摩,通 按摩,通 按摩
经销商参考价,25.99万起,32.99万起,35.99万起,40.99万起,55.99万起
胎压监测功能,胎压显示,胎压显示,胎压显示,胎压显示,胎压显示
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
语音分区域唤醒识别,六区域,六区域,六区域,六区域,六区域
语音助手唤醒词,Hi，翼真,Hi，翼真,Hi，翼真,Hi，翼真,Hi，翼真
语音识别控制系统,多媒体系统 航 空调 车窗,多媒体系统 航 空调 车窗,多媒体系统 航 空调 车窗,多媒体系统 航 空调 车窗,多媒体系统 航 空调 车窗
超声波雷达数量,12个,12个,12个,12个,12个
车内化妆镜,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯,主驾驶+照明灯 副驾驶+照明灯
车内数量,2个,2个,2个,2个,2个
车内环境氛围灯,多色,多色,多色,多色,多色
车机系统内存(GB),32,32,32,32,32
车窗一键降功能,全车,全车,全车,全车,全车
车身结构,5门6座,5门6座,5门6座,5门6座,5门6座
车载智能系统,Flyme Auto For LEVC OS,Flyme Auto For LEVC OS,Flyme Auto For LEVC OS,Flyme Auto For LEVC OS,Flyme Auto For LEVC OS
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
轮距(mm),1747,1747,1747,1747,1747
辅助驾驶等级,L2,L2,L2,L2,L2
辅助驾驶系统,LEVC-Pilot,LEVC-Pilot,LEVC-Pilot,LEVC-Pilot,LEVC-Pilot
辅助驾驶芯片,Mobileye EyeQ5H,Mobileye EyeQ5H,Mobileye EyeQ5H,Mobileye EyeQ5H,Mobileye EyeQ5H
进入功能,全车,全车,全车,全车,全车
钥匙类型,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙,钥匙 UWB数字钥匙 NFC/RFID钥匙
长*宽*高(mm),5316*1998*1940,5316*1998*1920,5316*1998*1920,5316*1998*1920,5316*1998*1920
阻系数(Cd),-,-,-,-,-
驱动方式,置驱,双电机四驱,置驱,双电机四驱,双电机四驱
驾驶辅助,360度全景,360度全景,360度全景,360度全景,360度全景
